ZIPCODE,N_entrades
11436,0
11213,12
11212,10
11225,14
11218,14
11226,19
11219,19
11210,8
11230,20
11204,8
10471,3
10470,4
10466,7
10467,19
10463,9
10475,0
10464,0
10469,5
10468,17
10463,2
10458,8
10034,18
10033,14
10462,10
10040,9
10453,14
10465,1
10464,0
10464,0
10461,11
10457,8
10460,11
10032,20
10452,22
10456,4
10472,8
10031,13
10039,4
10459,23
10451,16
10473,0
10030,8
10027,20
10474,0
10455,19
10037,3
10024,18
10454,19
10026,11
10035,7
10048,0
10025,19
11357,0
10029,10
00083,5
11356,0
11359,0
11360,0
11105,4
10128,6
10023,17
11363,0
10028,12
11354,10
11102,7
11370,0
10021,8
11358,0
11362,0
10044,1
11369,0
11103,7
11106,6
11368,14
11377,15
11355,0
11101,52
11364,0
10018,25
10020,4
11005,0
10017,16
10001,50
10011,52
10016,16
11104,10
11109,0
10010,21
11367,0
10014,16
10003,28
11222,11
10002,17
11378,0
10009,4
10012,23
10013,34
10007,37
11237,19
11385,13
10038,17
11206,23
10006,21
11412,0
10005,14
11251,0
10004,20
11411,0
11201,57
10004,0
11205,11
11208,17
11207,31
10004,0
10004,0
11413,0
11217,24
11238,23
11231,6
11422,0
11420,2
11417,11
11215,25
11231,0
11232,5
11430,0
11203,0
11239,0
11236,5
11220,19
10301,3
10303,0
11234,0
10302,0
11693,1
11209,11
10304,6
10314,0
11228,6
11096,0
10305,4
11229,5
11214,21
11691,12
11096,0
11223,18
11693,0
11692,8
11235,14
11693,4
10306,12
11694,8
11224,10
10308,2
11697,0
10312,6
10309,8
10307,7
10280,0
11372,8
11004,0
11040,0
11426,0
11365,0
11001,0
11375,15
11427,0
11374,7
11366,0
11423,0
11428,0
11432,30
11379,1
11429,0
11435,11
11415,6
11418,11
11433,10
11451,0
11221,6
11421,7
11419,8
11434,0
11216,10
11416,2
11233,14
10055,0
10019,61
10111,0
10153,0
10154,1
10152,0
10115,0
10022,29
11370,0
10065,15
10075,4
10069,0
10281,0
10282,0
11211,27
11373,21
10279,0
10165,1
10168,1
10105,0
10118,0
10176,0
10170,0
10112,1
10122,0
10107,1
10103,1
10174,2
10166,0
10169,0
10167,0
10177,0
10172,0
10171,0
10270,0
10104,0
10271,0
10110,0
10175,0
10151,0
10173,0
10178,0
10121,1
10123,0
10106,0
10158,0
10041,0
10120,0
10278,0
10155,0
10043,0
10081,0
10096,0
10097,0
10196,0
10196,0
10275,0
10265,0
10045,0
10047,0
10047,0
10080,0
10203,0
10259,0
10260,0
10285,0
10286,0
10035,0
11371,0
11361,0
10036,26
11414,4
10310,0
11693,0
11249,0
10162,0
10119,1
